model,status,p_MCS,MAE_or_MSE
Chronos,IN_MCS,0.134,128492051.56
Naive,IN_MCS,0.134,129626365.68
Theta,IN_MCS,0.134,130025296.13
Combination,IN_MCS,0.134,137392753.66
ETS,IN_MCS,0.134,152798781.95
SVR,IN_MCS,0.134,162758220.41
LightGBM,IN_MCS,0.134,170289813.66
"ARIMAX(1,1,1)",IN_MCS,0.134,171430381.37
kNN,IN_MCS,0.134,171912685.31
SARIMAX,IN_MCS,0.134,175449530.03
XGBoost,IN_MCS,0.134,177200999.53
AutoARIMA,IN_MCS,0.134,181125909.35
VECM,IN_MCS,0.134,182507916.16
RandomForest,IN_MCS,0.134,186535385.41
ARIMA,IN_MCS,0.134,189679572.58
NHITS,IN_MCS,0.134,191177899.91
ElasticNet,IN_MCS,0.134,197937783.11
Ridge,IN_MCS,0.134,200353090.97
NBEATSx,IN_MCS,0.134,203754020.68
GRU,IN_MCS,0.134,208122000.39
Lasso,IN_MCS,0.134,224704996.02
LSTM,IN_MCS,0.134,271171226.33
