model,status,p_MCS,MAE_or_MSE
Combination,IN_MCS,0.2297,387269888.71
Chronos,IN_MCS,0.2297,392675323.52
Theta,IN_MCS,0.2297,396296236.58
Naive,IN_MCS,0.2297,399056077.71
ETS,IN_MCS,0.2297,411237883.43
SVR,IN_MCS,0.2297,445488602.85
kNN,IN_MCS,0.2297,578782462.21
ElasticNet,IN_MCS,0.2297,595741391.03
LightGBM,IN_MCS,0.2297,628190432.67
Ridge,IN_MCS,0.2297,640843651.61
XGBoost,IN_MCS,0.2297,655359057.71
Lasso,IN_MCS,0.2297,658798408.28
"ARIMAX(1,1,1)",IN_MCS,0.2297,666508695.43
LSTM,IN_MCS,0.2297,691003299.12
RandomForest,IN_MCS,0.2297,691864983.2
VECM,IN_MCS,0.2297,724979481.46
SARIMAX,IN_MCS,0.2297,756886760.03
AutoARIMA,IN_MCS,0.2297,873197786.44
ARIMA,IN_MCS,0.2297,877476140.44
GRU,IN_MCS,0.2297,975154093.36
NHITS,IN_MCS,0.2297,1341269593.4
NBEATSx,IN_MCS,0.2297,1406298357.77
